folioviv,ubica_geo,clase_hog,tam_loc,est_socio,educa_jefe,sexo_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,ing_cor,ingtrab,gasto_mon,alimentos,educa_espa,salud,transporte
0762597714,7051,2,4,1,3,1,61,3,1,2,3,0,34100.64,25164.58,19120.02,10221.32,1835.86,958.68,2271.14
0762597715,7051,3,4,1,3,2,84,6,2,4,4,2,54206.55,25573.76,8926.19,3381.39,0.0,37.17,2331.42
0762597716,7051,3,4,1,4,1,54,10,4,6,7,3,55616.17,54639.33,30112.6,10877.05,489.13,34.23,5917.89
0762597717,7051,2,4,1,1,1,75,2,1,1,2,0,26863.33,0.0,6589.04,3471.4,0.0,1066.29,477.04
0762597718,7051,2,4,1,8,1,34,5,2,3,3,2,56551.46,53551.46,36622.62,10439.96,7141.29,743.47,10695.02
0762597919,7051,4,4,1,3,1,71,6,4,2,5,1,56609.71,44902.15,53153.23,31075.55,0.0,0.0,5516.12
0762597920,7051,2,4,1,10,1,39,3,1,2,2,1,148111.82,139402.15,78281.28,49306.97,0.0,0.0,9048.3
0762597920,7051,3,4,1,4,2,46,5,4,1,4,1,28173.9,28173.9,32444.46,22319.84,0.0,5057.59,580.64
0762597921,7051,2,4,1,4,1,55,3,2,1,3,0,50315.72,48864.11,35923.77,18334.11,0.0,215.21,2903.22
0762597922,7051,1,4,1,1,1,53,1,1,0,1,0,14281.81,11959.23,13017.28,8717.03,0.0,224.99,0.0
0762597923,7051,2,4,1,1,1,52,3,2,1,2,1,24502.57,18929.33,17582.62,13139.89,0.0,146.73,580.64
0762598201,7052,3,4,1,6,1,29,10,2,8,3,7,24383.51,18513.26,15164.89,9514.21,0.0,0.0,1521.42
0762598202,7052,2,4,1,6,1,40,5,2,3,5,0,83332.02,66646.46,34369.35,5965.65,5792.77,3913.04,11733.11
0762598203,7052,3,4,1,1,1,65,6,4,2,5,1,68347.02,56542.71,28622.4,7932.79,4542.41,313.04,966.35
0762598204,7052,2,4,1,3,2,55,2,1,1,2,0,15028.73,4329.88,17631.72,9642.79,1161.28,1022.28,1642.38
0762598205,7052,2,4,1,8,1,46,5,3,2,3,2,36455.39,32068.66,29018.89,10414.22,3199.93,373.68,1676.01
0762598206,7052,3,4,1,6,2,58,4,1,3,3,1,50465.53,48723.6,26349.45,11597.03,6032.8,399.13,2162.13
0762598407,7052,2,4,1,4,1,42,5,3,2,4,1,15856.81,13534.23,24377.55,19786.99,0.0,117.39,1285.69
0762598408,7052,4,4,1,4,1,60,7,3,4,6,1,49745.99,37923.24,29423.25,19208.44,0.0,117.39,4179.25
0762598409,7052,2,4,1,4,1,38,4,2,2,4,0,20923.61,16568.78,13449.24,8742.73,0.0,176.08,290.32
0762598410,7052,2,4,1,3,1,73,2,1,1,2,0,18489.14,1558.36,33049.03,19645.63,0.0,0.0,7537.08
0762598411,7052,2,4,1,4,1,46,3,2,1,3,0,23737.96,6192.38,13883.7,7495.65,174.19,136.95,3046.98
0762598412,7052,2,4,1,4,1,35,3,2,1,2,1,16318.1,13414.88,27225.88,16392.73,0.0,2699.99,5518.86
0762598613,7052,2,4,1,4,1,35,4,3,1,3,1,14195.52,11409.82,11381.75,7122.8,1590.0,0.0,1500.0
0762598614,7052,2,4,1,4,1,48,5,4,1,4,1,27351.13,18351.13,18289.73,9372.7,0.0,3472.82,2048.36
0762598615,7052,3,4,1,3,1,64,5,2,3,5,0,21858.67,1153.77,13440.48,9694.16,0.0,93.91,0.0
0762598616,7052,2,4,1,4,1,42,4,2,2,4,0,10538.35,8138.35,14573.51,8935.61,0.0,23.47,4050.0
0762598617,7052,2,4,1,4,1,42,6,4,2,4,2,23653.76,17653.76,11041.88,5309.93,900.0,0.0,2250.0
0762598618,7052,3,4,1,3,1,67,5,4,1,3,2,20328.66,8026.22,14068.95,6698.48,0.0,0.0,4731.14
0762598819,7052,3,4,1,4,1,61,8,4,4,7,1,43577.68,37577.68,17708.3,8305.59,1532.8,0.0,2850.0
0762598820,7052,3,4,1,4,2,40,3,1,2,3,0,23534.74,6739.66,11413.73,6235.61,408.0,39.12,1650.0
0762598821,7052,2,4,1,8,1,39,5,1,4,3,2,27835.07,21835.07,18715.69,9809.84,1930.56,640.74,690.0
0762598822,7052,2,4,1,4,1,59,2,1,1,2,0,24438.67,19938.67,14325.42,9437.07,0.0,0.0,1885.7
0762598823,7052,2,4,1,4,1,43,5,1,4,5,0,41391.13,36891.13,20531.23,9218.44,489.13,0.0,5378.53
